"folioEntrada","cliente","vendedor","fecha","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A004891","5485","5","20140507","P",1,0,2300,1035,189.75,1454.75,45,1,1
"A004892","5132","1","20200911","P",10,0,14000,7980,903,6923,57,5,5
"A004893","5692","4","20140621","P",2,0,800,384,62.4,478.4,48,2,2
"A004894","5124","1","20141030","P",6,0,3850,1963.5,0,1886.5,51,2,2
"A004896","5080","2","20180802","P",6,0,1560,717.6,0,842.4,46,2,2
"A004897","5364","8","20161207","P",1,0,350,171.5,0,178.5,49,1,1
"A004898","5061","8","20150429","P",4,0,3900,1911,0,1989,49,2,2
"A004899","5226","7","20220724","P",5,0,4600,2024,0,2576,44,5,5
"A004900","5183","2","20190313","P",1,0,500,275,33.75,258.75,55,1,1
"A004901","5418","2","20180831","P",30,0,2250,1125,168.75,1293.75,50,6,6
"A004902","5044","2","20150131","P",4,0,6600,3630,445.5,3415.5,55,4,4
"A004903","5036","2","20160116","P",3,0,1950,1072.5,131.63,1009.13,55,1,1
"A004904","5537","6","20170216","P",1,0,3100,1550,232.5,1782.5,50,1,1
"A004905","5374","6","20200210","P",10,0,2000,1000,150,1150,50,1,1
"A004906","5396","4","20150718","P",4,0,4700,2350,352.5,2702.5,50,4,4
"A004907","5421","4","20220118","P",5,0,2050,1025,153.75,1178.75,50,3,3
"A004908","5422","4","20190224","P",1,0,800,400,60,460,50,1,1
"A004909","5326","4","20140627","P",5,0,800,400,60,460,50,1,1
"A004910","5333","4","20140312","P",5,0,3500,1820,252,1932,52,5,5
"A004911","5307","4","20200715","P",9,0,6450,3547.5,435.38,3337.88,55,5,6
"A004912","5062","7","20140120","P",2,0,1900,1045,128.25,983.25,55,2,2
"A004913","5245","7","20140730","P",24,0,4320,2462.4,278.64,2136.24,57,3,3
"A004914","5092","7","20150119","P",1,0,1900,1045,128.25,983.25,55,1,1
"A004915","5147","7","20140630","P",1,0,900,468,64.8,496.8,52,1,1
"A004916","5075","8","20140322","P",3,0,4700,2585,317.25,2432.25,55,2,2
"A004917","5286","1","20141021","P",1,0,450,247.5,30.38,232.88,55,1,1
"A004918","5169","1","20181006","P",5,0,395,205.4,28.44,218.04,52,3,3
"A004919","5780","1","20180201","P",1,0,1100,583,77.55,594.55,53,1,1
"A004920","5325","1","20191205","P",4,0,1040,520,78,598,50,4,4
"A004921","5237","1","20171013","P",4,0,1720,946,116.1,890.1,55,3,3
"A004922","5262","1","20140318","P",5,0,1660,913,112.05,859.05,55,3,3
"A004924","5178","1","20201228","P",6,0,950,475,71.25,546.25,50,2,2
"A004925","5601","8","20180410","P",6,0,1980,1089,133.65,1024.65,55,6,6
"A004926","5419","4","20160813","P",4,0,440,233.2,31.03,237.83,53,2,2
"A004927","0002","3","20150729","P",500,0,55000,28050,0,26950,51,2,2
"A004928","0106","3","20211116","P",2,0,1080,540,81,621,50,2,2
"A004929","5082","2","20181007","P",1,0,600,294,0,306,49,1,1
"A004934","0121","3","20220702","P",4,0,3400,0,510,3910,0,4,4
"A004935","0121","3","20140308","P",4,0,3400,1530,280.5,2150.5,45,4,4
"A004937","5132","1","20180112","P",11,0,12500,7125,806.25,6181.25,57,8,8
"A004938","5046","7","20140922","P",3,0,4500,2475,303.75,2328.75,55,3,3
"A004939","5039","7","20150929","P",1,0,800,400,60,460,50,1,1
"A004940","0011","3","20220705","P",3,0,360,198,24.3,186.3,55,1,1
"A004943","0105","3","20180520","P",1,0,30,13.5,2.48,18.98,45,1,1
"A004945","5031","SIN_VEND","20220618","P",2,0,2800,1540,189,1449,55,1,1
"A004946","5031","8","20170531","P",1,0,800,440,54,414,55,1,1
"A004947","0008","3","20200105","P",3,0,1420,781,95.85,734.85,55,3,3
"A004948","0011","3","20181221","P",2,0,850,416.5,0,433.5,49,2,2
"A004950","0068","3","20141211","P",2,0,500,245,0,255,49,1,1
"A004954","5081","2","20190716","P",1,0,3500,1995,225.75,1730.75,57,1,1
"A004955","5081","2","20140620","P",1,0,1442,821.94,93.01,713.07,57,1,1
"A004957","5056","8","20170118","P",23,0,13610,7485.5,918.68,7043.18,55,14,14
"A004958","5001","7","20161030","P",5,0,3680,1876.8,0,1803.2,51,5,5
"A004959","5245","7","20220930","P",2,0,1420,823.6,89.46,685.86,58,2,2
"A004960","5013","7","20140211","P",2,0,2000,1000,150,1150,50,2,2
"A004964","5213","8","20220517","P",12,0,4100,2009,0,2091,49,2,2
"A004965","5124","1","20220109","P",15,0,8360,4263.6,0,4096.4,51,6,6
"A004967","5221","7","20180221","P",1,0,800,336,0,464,42,1,1
"A004968","5159","7","20210701","P",7,0,4000,1960,0,2040,49,2,2
"A004970","5081","2","20141226","P",1,0,1442,0,216.3,1658.3,0,1,1
"A004971","5440","9","20190121","P",2,0,560,280,42,322,50,2,2
"A004972","5099","7","20200205","P",13,0,7110,3555,533.25,4088.25,50,5,5
"A004973","5735","7","20220301","P",5,0,6650,3192,518.7,3976.7,48,4,4
"A004974","5423","7","20180222","P",4,0,6000,2880,468,3588,48,1,1
"A004975","5241","7","20150803","P",1,0,110,52.8,8.58,65.78,48,1,1
"A004976","5176","8","20201013","P",2,0,1100,605,74.25,569.25,55,2,2
"A004977","5669","6","20180603","P",2,0,850,408,66.3,508.3,48,2,2
"A004978","0053","0","20151219","P",97,0,13570,7734.9,875.27,6710.37,57,8,8
"A004980","0008","3","20221031","P",3,0,420,231,28.35,217.35,55,1,1
"A004981","0053","0","20141006","P",12,0,3600,2052,232.2,1780.2,57,1,1
"A004982","0082","3","20160108","P",1,0,1400,700,105,805,50,1,1
"A004983","5134","1","20170910","P",6,0,3100,1612,223.2,1711.2,52,3,3
"A004984","5223","1","20160220","P",3,0,4000,2280,258,1978,57,2,2
"A004985","5423","1","20221220","P",1,0,1100,572,79.2,607.2,52,1,1
"A004986","5243","1","20140214","P",1,0,1100,572,79.2,607.2,52,1,1
"A004987","5130","1","20211216","P",26,0,33040,18172,2230.21,17098.21,55,17,17
"A004988","5888","9","20150312","P",2,0,900,450,67.5,517.5,50,2,2
"A004989","5509","1","20141014","P",9,0,3630,1996.5,245.03,1878.53,55,5,5
"A004990","5509","1","20171010","P",6,0,5350,2942.5,361.13,2768.63,55,5,5
"A004991","0106","3","20160101","P",6,0,2940,1323,242.55,1859.55,45,6,6
"A004993","5864","9","20210408","P",1,0,1200,540,99,759,45,1,1
"A004994","5851","5","20220505","P",8,0,960,480,72,552,50,2,2
"A004995","5194","5","20220613","P",6,0,2100,1050,157.5,1207.5,50,2,2
"A004996","5272","8","20160121","P",2,0,1200,552,0,648,46,2,2
"A004997","5210","8","20171116","P",3,0,2400,1176,0,1224,49,3,3
"A004998","5204","8","20160626","P",2,0,1800,882,0,918,49,2,2
"A004999","5272","8","20171125","P",1,0,160,83.2,11.52,88.32,52,1,1
"A005000","5202","8","20210613","P",2,0,320,166.4,23.04,176.64,52,1,1
"A005002","5038","2","20200318","P",1,0,1100,605,74.25,569.25,55,1,1
"A005003","5018","7","20210209","P",4,0,800,440,54,414,55,1,1
"A005004","5308","4","20201023","P",1,0,550,275,41.25,316.25,50,1,1
"A005005","5034","8","20161206","P",7,0,6150,3382.5,415.13,3182.63,55,5,5
"A005007","0106","3","20150322","P",1,0,1300,585,107.25,822.25,45,1,1
"A005009","5702","2","20170426","P",24,0,16620,8310,1246.5,9556.5,50,23,24
"A005012","5702","2","20170130","P",24,0,18110,9055,1358.25,10413.25,50,24,24
"A005013","5702","2","20200205","P",24,0,20180,10090,1513.5,11603.5,50,23,24
"A005016","5702","2","20150109","P",24,0,19550,9775,1466.25,11241.25,50,23,24
"A005017","5702","2","20140607","P",25,0,14470,7235,1085.25,8320.25,50,23,24
"A005020","5702","2","20150105","P",29,0,18040,9020,1353,10373,50,21,24
"A005021","5702","2","20160610","P",3,0,1120,560,84,644,50,3,3
"A005022","5635","5","20210517","P",1,0,2300,1104,179.4,1375.4,48,1,1
"A005023","0002","3","20170321","P",2,0,1200,612,88.2,676.2,51,2,2
"A005024","0002","3","20150927","P",2,0,1200,612,88.2,676.2,51,2,2
"A005025","0002","3","20220716","P",2,0,1200,612,0,588,51,2,2
"A005027","5081","2","20220521","P",4,0,6800,3876,438.6,3362.6,57,2,2
"A005028","5080","2","20200405","P",6,0,1560,717.6,0,842.4,46,2,2
"A005030","5702","2","20200206","P",10,0,5355,2677.5,401.63,3079.13,50,8,8
"A005031","0121","3","20150315","P",2,0,640,320,48,368,50,2,2
"A005034","0082","3","20191119","P",12,0,2700,1350,202.5,1552.5,50,3,3
"A005035","5050","7","20140824","P",1,0,450,234,32.4,248.4,52,1,1
"A005037","5056","8","20210309","P",16,0,1600,880,108,828,55,4,4
"A005038","5542","5","20190224","P",2,0,1000,500,75,575,50,2,2
"A005040","0044","3","20180205","P",1,0,2000,900,165,1265,45,1,1
"A005041","5546","3","20190802","P",1,0,2000,900,165,1265,45,1,1
"A005042","5479","6","20191201","P",1,0,450,247.5,30.38,232.88,55,1,1
"A005043","5861","6","20220429","P",7,0,4400,2200,330,2530,50,3,3
"A005044","5134","1","20221114","P",2,0,2100,1092,151.2,1159.2,52,2,2
"A005045","5223","1","20150626","P",1,0,800,456,51.6,395.6,57,1,1
"A005046","5223","1","20180407","P",1,0,850,484.5,54.83,420.33,57,1,1
"A005047","5001","7","20160308","P",3,0,2300,1173,0,1127,51,2,2
"A005048","5049","7","20150424","P",2,0,900,441,0,459,49,1,1
"A005049","5029","7","20201001","P",1,0,1200,588,0,612,49,1,1
"A005050","5119","7","20151127","P",1,0,125,61.25,0,63.75,49,1,1
"A005053","5245","7","20171010","P",7,0,4800,2784,302.4,2318.4,58,3,3
"A005054","5777","7","20150924","P",1,0,800,384,62.4,478.4,48,1,1
"A005055","5036","2","20191130","P",5,0,8000,4400,540,4140,55,1,1
"A005056","5307","4","20200303","P",1,0,1300,715,87.75,672.75,55,1,1
"A005057","5044","2","20171009","P",1,0,1600,880,108,828,55,1,1
"A005058","5603","4","20141221","P",6,0,4200,2310,283.5,2173.5,55,3,3
"A005059","5054","2","20221224","P",1,0,800,440,54,414,55,1,1
"A005060","5031","8","20221229","P",10,0,7970,4383.5,537.98,4124.48,55,7,7
"A005061","5057","2","20140705","P",1,0,900,495,60.75,465.75,55,1,1
"A005062","5096","7","20190917","P",1,0,1600,880,108,828,55,1,1
"A005067","5285","4","20150728","P",2,0,2200,1254,141.9,1087.9,57,2,2
"A005073","5509","1","20180503","P",3,0,2100,1155,141.76,1086.76,55,3,3
"A005075","0115","3","20140127","P",2,0,360,158.4,0,201.6,44,1,1
"A005076","0083","3","20140112","P",3,0,1350,607.5,111.38,853.88,45,1,1
"A005086","5081","2","20210423","P",2,0,4000,2280,258,1978,57,1,1
"A005087","5673","6","20220826","P",1,0,550,275,41.25,316.25,50,1,1
"A005088","5708","5","20180821","P",12,0,1680,756,138.6,1062.6,45,2,2
"A005089","5173","8","20210131","P",3,0,2850,1482,205.2,1573.2,52,3,3
"A005090","5790","9","20180203","P",1,0,2300,1104,179.4,1375.4,48,1,1
"A005091","0106","3","20150223","P",2,0,540,243,44.56,341.56,45,2,2
"A005092","5057","2","20150829","P",1,0,1200,660,81,621,55,1,1
"A005093","0034","3","20151217","P",4,0,1080,486,89.1,683.1,45,3,3
"A005095","5696","7","20160128","P",4,0,2200,1056,171.6,1315.6,48,2,2
"A005097","5692","4","20190411","P",1,0,200,96,15.6,119.6,48,1,1
"A005099","0007","3","20181116","P",1,0,450,225,33.75,258.75,50,1,1
"A005100","0105","3","20201006","P",1,0,500,225,41.25,316.25,45,1,1
"A005101","5099","7","20190708","P",22,0,4050,2025,303.75,2328.75,50,3,3
"A005102","5262","1","20150906","P",5,0,1670,918.5,112.73,864.23,55,3,3
"A005103","5237","1","20140104","P",1,0,1200,660,81,621,55,1,1
"A005104","5325","1","20170501","P",3,0,460,230,34.5,264.5,50,3,3
"A005105","5082","2","20181228","P",1,0,550,269.5,0,280.5,49,1,1
"A005106","5081","2","20210308","P",2,0,1800,1026,116.1,890.1,57,1,1
"A005107","5607","6","20210510","P",4,0,3200,1408,0,1792,44,2,2
"A005109","5018","7","20210305","P",3,0,600,330,40.5,310.5,55,1,1
"A005110","5124","1","20180516","P",37,0,12350,6298.5,0,6051.5,51,9,9
"A005111","5074","8","20220206","P",1,0,2300,1127,0,1173,49,1,1
"A005112","5074","8","20160901","P",2,0,600,294,0,306,49,2,2
"A005113","5001","7","20140130","P",3,0,3700,1887,0,1813,51,3,3
"A005115","5195","7","20180107","P",8,0,4800,2352,0,2448,49,1,1
"A005116","5760","8","20181114","P",1,0,2000,1060,141,1081,53,1,1
"A005117","5892","9","20160328","P",17,0,850,382.5,70.13,537.63,45,2,2
"A005118","5245","7","20220731","P",1,0,800,464,50.4,386.4,58,1,1
"A005119","5062","7","20140725","P",5,0,770,423.5,51.98,398.48,55,2,2
"A005120","5183","2","20160909","P",4,0,5000,2750,337.5,2587.5,55,2,2
"A005121","5122","8","20190204","P",1,0,1000,550,67.5,517.5,55,1,1
"A005122","5223","1","20181221","P",7,0,7700,4389,496.65,3807.65,57,6,6
"A005123","5223","1","20190711","P",1,0,800,456,51.6,395.6,57,1,1
"A005124","5217","1","20220519","P",1,0,1100,572,79.2,607.2,52,1,1
"A005125","5029","7","20221016","P",1,0,700,343,0,357,49,1,1
"A005126","5119","7","20190823","P",1,0,180,88.2,0,91.8,49,1,1
"A005128","0096","3","20150725","P",3,0,2950,1327.5,243.38,1865.88,45,3,3
"A005130","5409","8","20140408","P",2,0,1150,632.5,77.63,595.13,55,2,2
"A005137","0121","3","20191222","P",1,0,250,125,18.75,143.75,50,1,1
"A005139","0053","0","20210913","P",1,0,800,456,51.6,395.6,57,1,1
"A005143","5210","8","20150519","P",1,0,250,137.5,16.88,129.38,55,1,1
"A005144","5046","7","20190804","P",7,0,5100,2805,344.25,2639.25,55,5,6
"A005145","5046","7","20160208","P",7,0,2100,1155,141.75,1086.75,55,1,1
"A005146","5893","8","20160530","P",2,0,130,65,9.75,74.75,50,1,1
"A005147","5893","8","20180907","P",2,0,300,150,22.5,172.5,50,2,2
"A005148","5885","4","20200103","P",3,0,540,297,36.45,279.45,55,1,1
"A005149","5285","4","20171013","P",17,0,13150,7495.5,848.19,6502.69,57,12,12
"A005151","5159","7","20201111","P",2,0,2730,1501.5,184.28,1412.78,55,2,2
"A005152","5241","7","20180122","P",1,0,500,240,39,299,48,1,1
"A005153","5735","7","20161118","P",4,0,5150,2472,401.7,3079.7,48,3,3
"A005157","5046","7","20160509","P",2,0,3600,1980,243,1863,55,2,2
"A005158","0106","3","20190301","P",2,0,570,256.5,47.03,360.53,45,2,2
"A005159","5113","8","20180618","P",2,0,300,165,20.25,155.25,55,1,1
"A005160","5112","1","20210308","P",1,0,450,247.5,30.38,232.88,55,1,1
"A005161","0112","0","20220313","P",4,0,2100,1050,157.5,1207.5,50,4,4
"A005162","0112","0","20190108","P",1,0,250,125,18.75,143.75,50,1,1
"A005163","5885","4","20151218","P",1,0,1100,539,0,561,49,1,1
"A005164","5061","8","20200717","P",3,0,960,470.4,0,489.6,49,3,3
"A005165","5036","2","20191014","P",3,0,6000,3300,405,3105,55,1,1
"A005166","5053","2","20180901","P",12,0,3800,2090,256.5,1966.5,55,3,3
"A005167","5031","8","20210604","P",9,0,7250,3987.5,489.38,3751.88,55,7,7
"A005168","5034","8","20140526","P",1,0,1200,660,81,621,55,1,1
"A005169","5136","7","20170929","P",2,0,3100,1488,241.8,1853.8,48,2,2
"A005170","5508","8","20140202","P",63,0,21320,8528,1918.8,14710.8,40,24,24
"A005171","5508","8","20220912","P",41,0,11420,4568,1027.8,7879.8,40,24,24
"A005172","5508","8","20190421","P",40,0,17830,7132,1604.7,12302.7,40,24,24
"A005173","5508","8","20170524","P",35,0,28020,11208,2521.8,19333.8,40,16,16
"A005174","5508","8","20170304","P",1,0,100,40,9,69,40,1,1
"A005176","5056","8","20180606","P",4,0,1440,792,97.2,745.2,55,2,2
"A005178","5190","2","20160421","P",36,0,22350,10057.5,1843.88,14136.38,45,24,24
"A005179","5190","2","20140604","P",7,0,3350,1507.5,276.38,2118.88,45,2,2
"A005183","5062","7","20190119","P",4,0,640,352,43.21,331.21,55,2,2
"A005186","5864","9","20190613","P",1,0,900,405,74.25,569.25,45,1,1
"A005187","5124","1","20200806","P",13,0,6150,3136.5,0,3013.5,51,5,7
"A005188","5050","7","20220709","P",1,0,2300,1196,165.6,1269.6,52,1,1
"A005191","5063","8","20220514","P",1,0,1600,736,0,864,46,1,1
"A005192","5326","4","20181029","P",1,0,1200,600,90,690,50,1,1
"A005193","5421","4","20220203","P",4,0,3450,1725,258.75,1983.75,50,4,4
"A005194","5896","6","20160125","P",3,0,1900,912,148.2,1136.2,48,3,3
"A005195","5014","7","20161225","P",9,0,4360,2267.2,313.92,2406.72,52,3,3
"A005201","0008","3","20220827","P",14,0,3240,1782,218.7,1676.7,55,5,5
"A005202","5034","8","20190501","P",1,0,400,220,27,207,55,1,1
"A005203","5031","8","20191124","P",7,0,7540,4147,508.95,3901.95,55,5,5
"A005204","0008","3","20201231","P",2,0,220,121,14.86,113.86,55,2,2
"A005205","5130","1","20170320","P",3,0,4600,2530,310.5,2380.5,55,2,2
"A005206","5603","4","20161209","P",7,0,10200,5610,688.5,5278.5,55,4,4
"A005207","5621","1","20180829","P",70,0,11500,6670,724.5,5554.5,58,4,4
"A005208","5223","1","20170717","P",4,0,3600,2052,232.2,1780.2,57,4,4
"A005209","0083","3","20190427","P",1,0,600,270,49.5,379.5,45,1,1
"A005210","5827","2","20210914","P",1,0,400,196,0,204,49,1,1
"A005211","5082","2","20180501","P",2,0,2200,1078,0,1122,49,2,2
"A005212","0132","10","20200214","P",2,0,2220,999,183.15,1404.15,45,2,2
"A005222","5333","4","20141221","P",2,0,900,468,64.8,496.8,52,2,2
"A005226","5017","9","20220814","P",1,0,120,54,9.9,75.9,45,1,1
"A005229","0131","10","20221218","P",1,0,2600,1170,214.5,1644.5,45,1,1
"A005230","5029","7","20190608","P",1,0,600,294,0,306,49,1,1
"A005231","5119","7","20190803","P",2,0,640,313.6,0,326.4,49,1,1
"A005232","5029","7","20220414","P",12,0,2200,1078,0,1122,49,3,3
"A005233","5195","7","20140917","P",1,0,350,171.5,0,178.5,49,1,1
"A005236","5016","7","20191011","P",1,0,1400,630,115.5,885.5,45,1,1
"A005237","5016","7","20150426","P",1,0,1400,630,115.5,885.5,45,1,1
"A005238","5124","4","20210905","P",1,0,400,196,0,204,49,1,1
"A005239","5214","4","20140805","P",1,0,400,196,0,204,49,1,1
"A005240","5214","4","20181211","P",1,0,200,98,0,102,49,1,1
"A005241","5038","2","20200718","P",2,0,1200,660,81,621,55,1,1
"A005242","5682","4","20161108","P",2,0,1800,936,129.6,993.6,52,2,2
"A005243","5720","6","20200130","P",5,0,3750,1950,270,2070,52,1,1
"A005246","5058","2","20150521","P",28,0,17550,9652.5,1184.65,9082.15,55,24,24
"A005247","5058","2","20211205","P",30,0,23600,12980,1593.01,12213.01,55,24,24
"A005248","5058","2","20171204","P",25,0,18990,10444.5,1281.85,9827.35,55,23,23
"A005249","5058","2","20181011","P",36,0,16100,8855,1086.78,8331.78,55,24,24
"A005250","5058","2","20200526","P",14,0,7850,4317.5,529.88,4062.38,55,12,12
"A005251","5058","2","20150909","P",35,0,18340,10087,1237.98,9490.98,55,24,24
"A005252","5058","2","20141030","P",18,0,3230,1776.5,218.03,1671.53,55,12,12
"A005282","0008","3","20140315","P",2,0,220,121,14.86,113.86,55,2,2
"A005284","5542","5","20190813","P",1,0,120,60,9,69,50,1,1
"A005296","5075","8","20150623","P",1,0,150,82.5,10.13,77.63,55,1,1
"A005319","5777","7","20150205","P",1,0,750,360,58.5,448.5,48,1,1
"A005320","5046","7","20170113","P",1,0,600,330,40.5,310.5,55,1,1
"A005322","5046","7","20190118","P",1,0,600,330,40.5,310.5,55,1,1
"A005323","5542","5","20221229","P",1,0,120,60,9,69,50,1,1
"A005324","5114","1","20180916","P",13,0,7660,3983.2,551.52,4228.32,52,4,4
"A005325","5669","6","20180611","P",1,0,140,67.2,10.92,83.72,48,1,1
"A005326","5537","6","20140830","P",1,0,1600,800,120,920,50,1,1
"A005327","5262","1","20200109","P",1,0,1100,605,74.25,569.25,55,1,1
"A005328","5237","1","20141026","P",1,0,1600,880,108,828,55,1,1
"A005329","5211","4","20190806","P",4,0,2000,1000,150,1150,50,2,2
"A005330","5112","1","20160421","P",3,0,570,313.5,38.48,294.98,55,3,3
"A005331","5011","7","20221010","P",1,0,250,125,18.75,143.75,50,1,1
"A005332","5013","7","20190118","P",2,0,90,45,6.75,51.75,50,1,1
"A005334","5134","1","20151015","P",1,0,1600,832,115.2,883.2,52,1,1
"A005335","5223","1","20170513","P",2,0,1900,1083,122.55,939.55,57,2,2
"A005336","5223","1","20190422","P",2,0,3600,2052,232.2,1780.2,57,2,2
"A005337","5417","4","20141018","P",3,0,2300,1150,172.5,1322.5,50,2,2
"A005338","5316","4","20180125","P",7,0,1950,975,146.25,1121.25,50,3,3
"A005339","5253","1","20170730","P",2,0,2400,1200,180,1380,50,1,1
"A005340","5337","1","20200930","P",19,0,11100,5772,799.2,6127.2,52,5,5
"A005341","5050","7","20170714","P",1,0,700,364,50.4,386.4,52,1,1
"A005342","0008","3","20180218","P",2,0,220,121,14.86,113.86,55,2,2
"A005343","0008","3","20190809","P",18,0,3140,1727,211.95,1624.95,55,6,6
"A005344","5661","1","20140206","P",2,0,2200,1210,148.5,1138.5,55,2,2
"A005345","5150","1","20141228","P",18,0,9590,5274.5,647.33,4962.83,55,11,11
"A005346","5053","2","20140313","P",6,0,4500,2475,303.75,2328.75,55,5,5
"A005347","5225","8","20161228","P",4,0,2400,1320,162,1242,55,2,2
"A005348","5180","8","20140331","P",5,0,3450,1794,248.4,1904.4,52,4,4
"A005349","5760","8","20181129","P",2,0,3600,1908,253.8,1945.8,53,2,2
"A005350","5031","8","20150929","P",1,0,1400,770,94.5,724.5,55,1,1
"A005351","5907","9","20210112","P",1,0,1200,600,90,690,50,1,1
"A005352","5333","4","20141026","P",3,0,480,249.6,34.56,264.96,52,3,3
"A005353","5031","8","20210204","P",2,0,1600,880,108,828,55,1,1
"A005354","5603","4","20160804","P",11,0,2500,1375,168.75,1293.75,55,3,3
"A005355","5246","7","20180610","P",3,0,1450,826.5,93.53,717.03,57,3,3
"A005356","5392","2","20190327","P",1,0,3000,1650,202.5,1552.5,55,1,1
"A005360","5219","1","20140716","P",2,0,1200,600,90,690,50,1,1
"A005361","5885","4","20150406","P",1,0,1800,990,121.5,931.5,55,1,1
"A005363","5173","8","20221016","P",1,0,3500,1820,252,1932,52,1,1
"A005364","5090","8","20151105","P",3,0,900,495,60.75,465.75,55,1,1
"A005365","5700","5","20160114","P",3,0,6900,3450,517.5,3967.5,50,1,1
"A005366","5029","7","20140122","P",1,0,2200,1210,148.5,1138.5,55,1,1
"A005367","0089","3","20160501","P",2,0,1600,720,132,1012,45,2,2
"A005368","0034","3","20210826","P",2,0,850,382.5,70.13,537.63,45,2,2
"A005369","5492","5","20160524","P",2,0,445,222.5,33.38,255.88,50,2,2
"A005370","5492","0","20190215","P",2,0,445,178,40.05,307.05,40,2,2
"A005371","5509","1","20140124","P",2,0,2400,1368,154.8,1186.8,57,2,2
"A005372","5509","1","20201207","P",4,0,3700,2109,238.65,1829.65,57,2,2
"A005373","5509","1","20150712","P",3,0,2200,1254,141.9,1087.9,57,3,3
"A005374","5509","1","20190427","P",1,0,500,285,32.25,247.25,57,1,1
"A005375","5509","1","20200726","P",5,0,400,228,25.8,197.8,57,3,3
"A005376","5509","1","20190429","P",4,0,4800,2736,309.6,2373.6,57,3,3
"A005378","5245","7","20190929","P",5,0,2600,1482,167.7,1285.7,57,2,2
"A005379","5113","8","20220811","P",9,0,1800,990,121.5,931.5,55,4,4
"A005380","5096","SIN_VEND","20170714","P",3,0,2240,1232,151.2,1159.2,55,2,2
"A005381","5143","1","20170929","P",1,0,800,400,60,460,50,1,1
"A005382","5159","7","20160406","P",4,0,1980,1089,133.65,1024.65,55,2,2
"A005383","5289","4","20140403","P",1,0,400,208,28.8,220.8,52,1,1
"A005384","5013","7","20170303","P",3,0,3300,1650,247.5,1897.5,50,1,1
"A005385","5245","7","20170609","P",6,0,4800,2736,309.6,2373.6,57,2,2
"A005386","5183","2","20180330","P",1,0,2300,1265,155.25,1190.25,55,1,1
"A005387","5739","8","20141024","P",6,0,13800,6900,1035,7935,50,1,1
"A005388","5421","4","20160530","P",2,0,2800,1400,210,1610,50,1,1
"A005389","5781","7","20211130","P",3,0,3000,1440,234,1794,48,2,2
"A005390","5103","8","20151007","P",12,0,4200,2310,283.5,2173.5,55,5,5
"A005391","5014","7","20150821","P",3,0,4650,2418,334.8,2566.8,52,3,3
"A005392","5777","7","20141105","P",1,0,750,360,58.5,448.5,48,1,1
"A005393","5853","2","20160927","P",4,0,5600,3080,378,2898,55,2,2
"A005394","5735","7","20220929","P",2,0,1550,744,120.9,926.9,48,2,2
"A005395","5615","7","20151107","P",1,0,250,125,18.75,143.75,50,1,1
"A005396","5046","7","20170412","P",5,0,3000,1650,202.5,1552.5,55,3,3
"A005397","5431","6","20170423","P",20,0,4400,2200,330,2530,50,2,2
"A005398","5117","1","20190304","P",2,0,3200,1760,216,1656,55,1,1
"A005399","5245","7","20151005","P",2,0,3400,1938,219.3,1681.3,57,2,2
"A005400","5885","4","20210106","P",2,0,7800,4290,526.5,4036.5,55,2,2
"A005402","5214","4","20220907","P",2,0,2700,1485,182.25,1397.25,55,2,2
"A005403","5028","4","20170604","P",1,0,450,247.5,30.38,232.88,55,1,1
"A005404","5026","2","20180105","P",5,0,3300,1815,222.75,1707.75,55,3,3
"A005405","5638","1","20190924","P",22,0,13450,7666.5,867.53,6651.03,57,7,7
"A005406","5040","7","20181111","P",4,0,2320,1160,174,1334,50,3,3
"A005407","5409","8","20140301","P",3,0,1500,825,101.25,776.25,55,1,1
"A005410","5096","7","20200919","P",1,0,2200,1210,148.5,1138.5,55,1,1
"A005411","5096","7","20190102","P",2,0,1200,660,81,621,55,1,1
"A005413","0105","3","20200503","P",1,0,500,225,41.25,316.25,45,1,1
"A005414","5700","5","20200726","P",1,0,2300,1150,172.5,1322.5,50,1,1
"A005421","5597","6","20180105","P",70,0,47510,23755,3563.25,27318.25,50,34,34
"A005423","0053","0","20221126","P",8,0,3650,2080.5,235.44,1804.94,57,3,4
"A005424","0018","3","20190203","P",1,0,4200,2310,283.5,2173.5,55,1,1
"A005425","0112","3","20150513","P",1,0,500,250,37.5,287.5,50,1,1
"A005426","0011","3","20220410","P",1,0,1200,540,99,759,45,1,1
"A005427","0011","3","20210513","P",4,0,2800,1260,231,1771,45,2,2
"A005428","0007","3","20160519","P",5,0,4550,2275,341.25,2616.25,50,5,5
"A005429","0011","3","20151031","P",1,0,500,225,41.25,316.25,45,1,1
"A005430","0011","3","20190807","P",6,0,480,216,39.6,303.6,45,2,2
"A005431","0011","3","20211005","P",1,0,900,405,74.25,569.25,45,1,1
"A005432","0011","3","20211210","P",2,0,500,225,41.26,316.26,45,2,2
"A005434","0011","3","20160427","P",30,0,26950,14822.5,1819.13,13946.63,55,23,23
"A005435","0011","3","20221013","P",15,0,8850,4867.5,597.39,4579.89,55,12,12
"A005436","0011","3","20200420","P",16,0,6020,3311,406.37,3115.37,55,13,13
"A005437","0107","4","20200511","P",1,0,3400,1870,229.5,1759.5,55,1,1
"A005438","0011","3","20221216","P",33,0,16100,8855,1086.77,8331.77,55,24,24
"A005441","5285","4","20190920","P",1,0,320,182.4,20.64,158.24,57,1,1
